Date,Text
"1910","Jan 21, Japan rejected the American proposal to neutralize ownership of the Manchurian Railway. Mar 23, Akira Kurosawa, Japanese film director , was born in Tokyo, Japan. Jun 24, The Japanese army invaded Korea. Aug 22, Japan annexed Korea following 5 years as a protectorate and ruled for 35 years. Kida Sadakichi wrote ""The Teaching of National History.""Namikawa Sosuke , top Japanese cloisonné artist, died."
"1910","Jan 4, Leon Walrus , French economist, died. In 1874 he wrote and published the first edition of his magnum opus, the “Elements of Pure Economics.""Jan 7, Alain JG de Rothschild, banker and baron, was born in France. Jan 24, Louis Paulhan, French aviator, made an aerial display at the Tanforan Race Track in San Bruno, Ca., before a crowd of 75,000. He flew his biplane 1,300  feet high at 70 mph. Earlier he took William Randolph Hearst for a ride. Feb 7, Edmond Rostand's ""Chanticleer,"" premiered in Paris. Mar 8, Baroness de Laroche became the first women to obtain a pilot's license in France. Mar 28, The first seaplane took off from water at Martinques, France. Jun 11, Jacques Cousteau , pioneer sea explorer, was born in Saint-Andre-de-Cubzac, France. He invented the aqualung and wrote ""The Living Sea.""Jun 23, Jean Anouilh, French playwright, was born. Sep 2, Henri ""le Douanier"" Rousseau , French customs officer and painter, died in Paris. He had recently completed his masterpiece “The Dream.""Sep 5, Marie Curie demonstrated the transformation of radium ore to metal at the Academy of Sciences in France. Sep 8, Jean-Louis Barrault, director and actor , was born in Vesinet, France. Sep 27, 1st test flight of a twin-engined airplane was made in France. Oct 18, M. Baudry was the first to fly a dirigible across the English Channel--from La Motte-Breil to Wormwood Scrubbs. Dec 3, Neon lights were 1st publicly seen at the Paris Auto Show. Dec 19, Jean Genet, criminal, novelist, dramatist , was born in Paris, France. In 1993 Edmund White published ""Jean Genet: A Life.""Matisse painted ""La Danse."" ""The Dance II"" later ended up at the Hermitage. Coco Chanel , French fashion designer, moved to Rue Cambon, Paris. Paris was menaced by a great flood. ""The streets were like rivers, the squares, like great lakes."" Severe flooding ravaged Monet's pond at Giverny. Le Divan bookstore was founded in the Left Bank of Paris. It was put up for sale in 1996 by its owners, the Gallimard publishing house. In France a hairdresser devised the permanent wave for hair. French Equatorial Africa was a former administrative grouping of four French territories in west central Africa. It was first formed by the federation of 3 French imperial colonies: Gabon, Middle Congo, and Ubangi-Shari-Chad. It comprised a total area of 969,112 square miles . Chad was separated from Ubangi-Shari in 1920 to form a fourth colony."
"1910","Japan annexes Korea. South Africa becomes a dominion of the British Empire. George V becomes king of Britain. "
"1910","May 4, Tel Aviv was founded. Degania Aleph, Israel’s first kibbutz, was founded by 12 pioneers, while the area was still under Ottoman control. In 2007 it joined a growing proportion of kibbutzim abandoning egalitarian socialism in favor of a self-taxing regime combined with free-market forces."
"1910-1945","Japan colonized the Korean Peninsula."
"1911","Apr 12, Pierre Prier completed the first non-stop London-Paris flight in three hours and 56 minutes. Jul 5, George Pompidou, Prime Minister of France, 1968, was born. Aug 21, Leonardo da Vinci’s “Mona Lisa"" was stolen from the Louvre Museum. It had hung there for more than 100 years. Vincenzo Perugia, a former Louvre employee, stole the painting. It turned up in Italy two years later. In 2009 R. A. Scotti authored “Vanished Smile: The Mysterious Theft of Mona Lisa.""Apr 23, Simone Simon, French actress , was born. Apr, The Agadir Crisis, also called the Second Moroccan Crisis, or the Panthersprung, was the international tension sparked by the deployment of a substantial force of French troops in the interior of Morocco. France thus broke both with the Act of Algeciras that had ended the First Moroccan Crisis, and the Franco-German Accord of 1909. Germany reacted by sending the gunboat Panther to the Moroccan port of Agadir on July 1, 1911.May 19, Maurice Ravel’s opera ""L'Heure Espagnole,"" premiered in Paris. Aug 21, Leonardo da Vinci’s “Mona Lisa"" was stolen from the Louvre Museum. The painting turned up in Italy two years later. Aug 22, It was announced in Paris that Leonardo da Vinci's Mona Lisa had been stolen from the Louvre Museum the night before. It had hung there for more than 100 years. Vincenzo Perugia stole the painting, which was recovered in Italy in 1913. Nov 18, Alfred Binet, French child psychologist, died. Debussy composed ""Trois Ballades de Francois Villon"" set to poems by the poet. The bar in Paris at 5 Rue Dannou, later named Harry’s, was founded."
"1911","Jan 17, Francis Galton , English scientist, died. He was one of the first moderns to present a carefully considered eugenics program. His work included the invention of weather maps and the description of fingerprints. He also developed a system for classifying human profiles using geometric diagrams. He was a cousin of Charles Darwin and the founder of the science of statistics. The idea of sterilizing human beings considered as physical or mental undesirables stemmed from Galton’s ideas. Apr 12, Pierre Prier completed the first non-stop London-Paris flight in three hours and 56 minutes. May 8, England signed a treaty with China making opium the main trading commodity with the Chinese. Mar 9, The funding for five new battleships was added to the British military defense budget. May 16, Remains of a Neanderthal man were found in Jersey, UK. May 29, William Schwenck Gilbert , writer , died. Jun 22, King George V of England crowned at Westminster Abbey. Jul 14, Terry Thomas, actor , was born in England. Jul 20, Generals Henry Wilson and Auguste Dubail signed a plan for British Expeditionary army in case of war with Germany. Aug 18, Britain’s Parliament Act of 1911 was given Royal Assent. It asserted the supremacy of the House of Commons by limiting the legislation-blocking powers of the House of Lords .Sep 9, An airmail route opened between London and Windsor. Oct 4, The 1st public elevator began service at London's Earl's Court Metro Station. Nov 21, Suffragettes stormed Parliament in London. All were arrested and all chose prison terms. Dec 10, Joseph Dalton Hooker , British botonist and explorer, died. Dec 12, In northern India Britain’s King George V stood before some 562 princes as well as maharajahs, soldiers and bureaucrats, and made a surprise announcement that would change the fate of Delhi, an ancient fading city with a population of 410,000. The king said Delhi would be the new capital of India. Karl Pearson , English mathematician and later regarded as the father of modern statistics, founded the first statistics department at Univ. College London .King George V of Britain visited India. He went hunting in Nepal and from the back of an elephant bagged 21 tigers, 8 rhinos, and a bear. The first Michelin guide to the British Isles was published to help travelers and included information on how to change a tire."
"1911","The Agadir crisis, when the German gunship Panther entrers the port of Agadir in Morocco, heightens tension between Germany and Britain. "
"1911","The Tokyo Philharmonic Orchestra  was formed."
"1912","Feb 24, The Jewish organization Hadassah was founded in New York City."
