Date,Text,sentences,Country
1964,"	
June 2
The Palestinian Liberation Organization (PLO) is formed.",1,IS
1979,"March 26
Egypt and Israel sign a formal peace treaty, which ends 30 years of war and establishes diplomatic and commercial relations.",1,IS
1993,"January
Highly secretive talks in Norway between the PLO and the Israeli government begin.

September 13
Yasir Arafat and Israeli prime minister Yitzhak Rabin sign the historic ""Declaration of Principles."" Arafat recognizes the right of the State of Israel to ""exist in peace and security,"" and Israel recognizes the PLO and grants it limited autonomy.",1,IS
1995,"November 5
Prime Minister Rabin is slain by a Jewish extremist, jeopardizing the tentative progress toward peace.",1,IS
2003,"March 20
U.S., British, and Australian armed forces invaded Iraq.


April 29
Mahmud Abbas is appointed prime minister of the Palestinian Authority.


September 6
Mahmud Abbas resigns as the prime minister of the Palestinian Authority.


September 8
Ahmed Qurei is appointed prime minister of the Palestinian Authority by Arafat and Fatah / PLO.


November 24
Israeli prime minister Sharon calls for the unilateral withdrawal of Israeli forces if the roadmap fails.


December 1
Although leaked in November, the Geneva Accord peace plan is officially released.


December 8
In an emergency session, the United Nations General Assembly asks the International Court of Justice to rule on the legality of Israel's security barrier.",1,IS
2007,"February 8
Hamas and Fatah agree to share power.


June 9
Hamas seizes control of Gaza, routing Fatah forces and killing more than 100 people.",1,IS
1920,"Academic halls for women were first established at Oxford in the 19th century, but although women had been able to attend degree level courses, they could not receive degrees until 1920.",1,UK
1925,"Although the party was initially formed to promote Welsh language and culture, by the 1930s it had a political agenda and was determined that Wales should achieve independent status as a dominion.",1,UK
1950,"Labour remained in government but its majority fell greatly, to only five seats, as the electorate's enthusiasm for Labour's post-war vision dwindled away.",1,UK
1955,"This Conservative victory, with 345 seats to Labour's 277, strengthened the Conservatives' parliamentary position.",1,UK
1956,"Calder Hall, Britain's first nuclear power station - and the first in the world to supply substantial quantities of electricity to a national system - was opened by Elizabeth II.",1,UK
1982,Unemployment breached the psychologically significant barrier of three million as manufacturing was hard hit by a deep economic recession.,1,UK
1900-08-20,Japan's primary school law is amended to provide for four years of mandatory schooling.,1,JP
1904-08-10,Japanese fleet defeat Russians off Port Arthur,1,JP
1904-08-24,"Battle of Liao-Yang-200,000 Japanese against 150,000 Russian, Japanese tactical victory",1,JP
1904-09-19,"Gen Nogi's assault on Port Arthur: 16,000 Japanese casualties",1,JP
1905-01-02,"Japanese troops capture Port Arthur from Russia, a blow to national morale and causing further discontent within Russia",1,JP
1905-03-10,Japanese Army captures Mukden (Shenyang),1,JP
1905-05-27,Japanese fleet destroys Russian East Sea fleet in Straits of Tushima,1,JP
1905-09-10,Japanese battleship Mikasa explodes,1,JP
1905-11-17,The Eulsa Treaty is signed between Japan and Korea.,1,JP
1907-07-25,Korea becomes a protectorate of Japan.,1,JP
1908-06-18,Japanese immigration to Brazil begins when 781 people arrive in Santos aboard the Kasato-Maru ship,1,JP
1908-11-22,"1st US-Japanese baseball game Reach All-Americans defeat Waseda U, 5-0",1,JP
1910-08-22,Japan annexes Korea after 5 years as a protectorate,1,JP
1910-08-29,Japan changes Korea's name to Chōsen and appoints a governor-general to rule its new colony.,1,JP
1912-03-27,"1st Japanese cherry blossom trees planted in Washington, DC",1,JP
1912-08-05,"Japan's first taxicab service begins in Ginza, Tokyo.",1,JP
1912-09-28,"SS Kichemaru disappears in storm off Japanese coast, 1,000 die",1,JP
1913-08-16,Tōhoku Imperial University of Japan (modern day Tōhoku University) admits its first female students.,1,JP
1914-08-15,Japan joins side of allies,1,JP
1914-08-23,Japan declares war on Germany in World War I,1,JP
1914-11-07,Japanese attack German concession on Chinese peninsula of Shanghai,1,JP
1914-11-07,The German colony of Kiaochow Bay and its centre at Tsingtao are captured by Japanese forces.,1,JP
1915-01-15,Japan claims economic control of China,1,JP
