ID,year,text
2,1758,"The International Commission on Zoological Nomenclature establish the ""starting point"" for standardized species names across the animal kingdom, based on the binomial nomenclature by Carolus Linnaeus 10th edition of Systema Naturae"
3,1863,Emancipation Proclamation issued by Abraham Lincoln to free slaves in US confederate states
5,1958,"European Economic Community, better known as the European Common Market starts operation"
7,1492,Muhammad XII. (Boabdil) last Nasird ruler of Moorish fortress Alhambra surrenders to the Catholic Monarchs
9,1905,American anarcho-syndicalist union known as the Industrial Workers of the World forms
10,1942,World War II: the 28 nations at war with Axis powers pledge to make no separate peace deals
14,1777,"General George Washington's revolutionary army defeats British forces at Battle of Princeton, NJ"
19,1865,The New York Stock Exchange opens its first permanent headquarters at 10-12 Broad near Wall Street in New York City.
23,1477,"Battle of Nancy, Burgundy vs Switzerland, 7,000 + killed including their leader Charles Duke of Burgundy"
28,1605,The first edition of El ingenioso hidalgo Don Quijote de la Mancha (Book One of Don Quixote) by Miguel de Cervantes is published in Madrid.
29,1649,"The English Rump Parliament votes to put Charles I on trial for treason and other ""high crimes"""
31,1912,"Alfred Wegener, geophysicist and meteorologist, presents his controversial theory of continental drift in a lecture at a the Geological Association (Geologischen Vereinigung) at the Senckenberg-Museum, Frankfurt."
32,1941,"President Franklin Roosevelt's ""4 Freedoms"" speech (freedom of speech and worship; freedom from want and fear) during US State of Union address"
34,1610,"Galileo Galilei discovers the first three moons of Jupiter: Io, Europa & Ganymede"
37,1954,"Georgetown-IBM experiment, 1st public demonstration of a machine translation system, is held at IBM's head office in New York"
42,1912,"Chiefs, representatives of people's and church organisations, and other prominent individuals form the African National Congress and declare its aim to bring all Africans together as one people to defend their rights and freedoms"
43,1916,WWI: ANZAC forces withdraw from the Gallipoli Peninsula after Ottoman forces successfully defend access to Constantinople
44,1926,Abdulaziz Ibn Saud becomes King of Nejd and Hejaz; forerunner of the Kingdom of Saudi Arabia
45,1431,"Judges' investigations for the trial of Joan of Arc begin in Rouen, France, the seat of the English occupation government."
48,1909,Ernest Shackleton as part of the British Nimrod Expedition reaches a record farthest South latitude (88°23' south)
54,1776,"""Common Sense"" Pamphlet by Thomas Paine, published advocating American independence"
59,1838,"First public demonstration of telegraph message sent using dots & dashes at Speedwell Ironworks, Morristown, New Jersey by Samuel Morse and Alfred Vail"
